,Country,val
0,Aceh,0.0037862368012989748
1,Addis Ababa,0.17398125806189646
2,Afar,0.001341581358578139
3,Afghanistan,0.0030674559858743585
4,Agder,1.0
5,Aguascalientes,0.38447728430441036
6,Aichi,0.31471420462258765
7,Akita,0.04552169115785325
8,Alabama,0.03193693982370934
9,Alaska,0.36440702624097926
10,Albania,0.3390467601088802
11,Algeria,0.43972918403831246
12,American Samoa,0.00629055898225323
13,Amhara,0.16067564258513162
14,Andhra Pradesh,0.3344392644959538
15,Andorra,0.025738059506791353
16,Angola,0.0025482370277009653
17,Antigua and Barbuda,0.020303753385343026
18,Aomori,0.2232006520583135
19,Argentina,0.3136744303477292
20,Arizona,0.04035848139484951
21,Arkansas,0.03248079373344378
22,Armenia,0.8311649042708562
23,Arunachal Pradesh,0.01701245262571402
24,Assam,0.31745201547198604
25,Australia,0.40294174487452344
26,Austria,0.42484727774656744
27,Azad Jammu & Kashmir,0.26952228517404553
28,Azerbaijan,0.02996410427657542
29,Bahamas,0.3983351401339981
30,Bahrain,0.03228585242950493
31,Baja California,0.04308756202253409
32,Baja California Sur,0.37983809486510073
33,Bali,0.004813761579708898
34,Balochistan,0.007387033214917884
35,Bangka-Belitung Islands,0.0035035114252455726
36,Bangladesh,0.08592375383164738
37,Banten,0.4377304034597673
38,Barbados,0.02298925567246653
39,Baringo,0.17963437617098135
40,Belarus,0.009544345063738616
41,Belgium,0.26278589635458854
42,Belize,0.01828189870617608
43,Bengkulu,0.3848290067578849
44,Benin,0.0011270733060563145
45,Benishangul-Gumuz,0.03650679499376767
46,Bermuda,0.020253681245840472
47,Bhutan,0.02851960368751056
48,Bihar,0.016038402205476095
49,Bolivia (Plurinational State of),0.21120616839219186
50,Bomet,0.003261106985724931
51,Bosnia and Herzegovina,0.028210282632757246
52,Botswana,0.009249021872409372
53,Brazil Central-West,0.01758818998481388
54,Brazil North,0.01321467198633943
55,Brazil Northeast,0.44062993953007623
56,Brazil South,0.3634721294888297
57,Brazil Southeast,0.38745310651430753
58,Brunei Darussalam,0.41840636681974286
59,Bulgaria,0.1599313217750211
60,Bungoma,0.19511141638663088
61,Burkina Faso,0.15156870756714427
62,Burundi,0.13024240178491048
63,Busia,0.0019503594891084092
64,Cabo Verde,0.4287294375624138
65,California,0.01916825735710236
66,Cambodia,0.030162689551568436
67,Cameroon,0.001633734471676901
68,Campeche,0.4655466301513312
69,Canada,0.0562208934092166
70,Central African Republic,0.10569603228407179
71,Central Java,0.40957774363584015
72,Central Kalimantan,0.41440279713714
73,Central Sulawesi,0.3381770955001491
74,Chad,0.0
75,Chhattisgarh,0.01360010042560997
76,Chiapas,0.04394842974077773
77,Chiba,0.02673939018917811
78,Chihuahua,0.3188188031922807
79,Chile,0.05575375158980157
80,China,0.36557715582651107
81,Coahuila,0.049930239394494376
82,Colima,0.3144562140960413
83,Colombia,0.034419009102359885
84,Colorado,0.04692422348184979
85,Comoros,0.177856077293988
86,Congo,0.00539185430181466
87,Connecticut,0.3807035383583853
